director_id,director
1092,Lindsey Cordero
1093,David LaChapelle
1094,Mostafa Abu Seif
1095,Faris Godus
1096,Rod Lurie
1097,Stacie Passon
1098,Jenny Popplewell
1099,Florian Schott
1100,Tom Whitworth
1101,Joe Mantello
1102,Lee Hirsch
1103,Page Hurwitz
1104,Dallas Jackson
1105,Rajat Kapoor
1106,Abhishek Chaubey
1107,Imtiaz Ali
1108,Navdeep Singh
1109,Anees Bazmee
1110,Rikhil Bahadur
1111,Shawn Levy
1112,Harry Bradbeer
1113,Joshua Tickell
1114,Sophia Nahli Allison
1115,Norihisa Hiranuma
1116,Shigeaki Kubo
1117,Yudai Yamaguchi
1118,Marwan Hamed
1119,Smeep Kang
1120,Raja Chanda
1121,Tigmanshu Dhulia
1122,Akashdeep
1123,Rajesh Ganguly
1124,Alankrita Shrivastava
1125,Chandra Liow
1126,Sekhar Kammula
1127,Gary Andrews
1128,Merawi Gerima
1129,Kubhaer T. Jethwani
1130,Antonio Campos
1131,Carles Torras
1132,James Watkins
1133,Philippa Lowthorpe
1134,Pailin Wedel
1135,Chris Howe
1136,Peter Sollett
1137,Steve Bencich
1138,Tosin Coker
1139,Javier Colinas
1140,Dean DeBlois
1141,Reinhard Klooss
1142,Shaun Mir
1143,Satish Rajwade
1144,Abhijeet Deshpande
1145,Mahesh Manjrekar
1146,Prakash Kunte
1147,Manish Saini
1148,Kenny Ortega
1149,Makarand Mane
1150,Vijay Maurya
1151,Sameer Patil
1152,Kenzo Maihara
1153,Ahmed Nader Galal
1154,Arati Kadav
1155,Maïmouna Doucouré
1156,Pepe Mora
1157,Marcos Carnevale
1158,Jeff Orlowski
1159,Cho Il
1160,Pippa Ehrlich
1161,Tolga Karaçelik
1162,Davis Guggenheim
1163,Philip Barantini
1164,Charlie Kaufman
1165,Abba T. Makama
1166,Junior Carelli
1167,Ertanto Robby Soediskam
1168,Mark Steven Johnson
1169,Felix Binder
1170,Thor Freudenthal
1171,Nguyen Thanh Tung
1172,Baltasar Kormákur
1173,Conrad Helten
1174,Ayumu Watanabe
1175,Hitoshi Namba
1176,Chris Miller
1177,Sean Anders
1178,Abbas Mustan
1179,Duncan McMath
1180,Dan Forgione
1181,Francesco Carnesecchi
1182,Greg Tiernan
1183,Mark Thornton
1184,Shamzu Zayba
1185,Jesse V. Johnson
1186,Brett Haley
1187,Chris Roland
1188,David Galán Galindo
1189,David Moreton
1190,Lester Hsi
1191,Cyrus Nowrasteh
1192,Isabel Sandoval
1193,Nathan Wiley
1194,Wayne Blair
1195,Atul Sabharwal
1196,Bernardo Arellano
1197,Trish Sie
1198,Hong Won-ki
1199,Khaled Marei
1200,Fred Wolf
1201,Niyi Akinmolayan
1202,Sammaria Sari Simanjuntak
1203,Chairun Nissa
